Iteration,MSE
1,254.4965362548828
2,330.2124557495117
3,355.33473205566406
4,367.7828483581543
5,375.43007507324216
6,378.05631764729816
7,379.8472224644252
8,353.9342269897461
9,359.40891520182294
10,363.83037719726565
11,366.1939530806108
12,351.416259765625
13,327.2452548100398
14,306.3728711264474
15,311.8930061340332
16,294.2006781101227
17,299.9548090766458
18,285.197411219279
19,279.95169770090206
20,266.8761577606201
21,273.4140170869373
22,279.1758710687811
23,274.3334154875382
24,272.15146287282306
25,268.1427163696289
26,264.5609679588905
27,268.3666921544958
28,259.7919748851231
29,251.72455314110064
30,251.21642106374105
31,250.2155373481012
32,248.00533539056778
33,247.4026277137525
34,247.20368469462676
35,246.44428498404366
36,248.94124227099948
37,242.6606275197622
38,236.78559423747816
39,240.5970336718437
40,234.64792111516
41,229.53803083954787
42,224.78849055085863
43,228.4986926067707
44,227.2886857823892
45,222.62749928898282
46,218.25434629295182
47,213.88892287903644
48,213.0695604135593
49,212.34689677978048
50,211.40645634174348
51,207.5055065949758
52,206.9036550934498
53,206.90632626245608
54,206.11891171225795
55,209.29477369568565
56,209.4526524926935
57,205.86799919814393
58,208.7614841173435
59,205.3992394794852
60,202.31997587283453
61,202.58897408110195
62,205.2659270571124
63,204.5681744113801
64,204.01173551753163
65,204.19410314193138
66,201.1353880708868
67,198.42187017469263
68,195.7310555822709
69,195.47417420926303
70,192.85381471088954
71,192.35500132869666
72,192.04694155852
73,191.62304584294148
74,189.123994840158
75,186.84639652252199
76,186.52972435951233
77,188.21355313140077
78,190.40164990302844
79,190.1371160941788
80,187.95199437141417
81,187.64324013980817
82,185.39495583569132
83,183.2867485557694
84,181.37706835213163
85,181.19861563794754
86,179.18936371526053
87,181.4628555610262
88,181.31465028903702
89,179.37546869610134
90,177.49251810974545
91,175.65126485352988
92,173.99738385625508
93,176.0116732120514
94,174.1833484502549
95,174.5990015707518
96,174.38359083483616
97,172.63845697137498
98,174.59316983271617
99,173.01765164221175
100,171.84342529058458
101,173.21061056675296
102,172.24012337245193
103,170.75398837478414
104,170.75980631892497
105,170.59949346042814
106,170.4411499252859
107,170.81303596273762
108,169.38345394973402
109,171.15885100889642
110,172.91535507332196
111,171.55348579948014
112,170.27150727808475
113,168.86360458568134
114,167.55929086710276
115,167.65688055079917
116,167.7198670794224
117,167.66466414418994
118,168.06470337358573
119,169.35685963790957
120,169.2781771639983
121,169.3188959842871
122,169.77066330636134
123,168.58941189641874
124,167.299909697425
125,170.15000895500182
126,171.71323374907175
127,171.74074985286381
128,171.62481133453548
129,170.4830787699352
130,173.1030850318762
131,174.1801787496523
132,172.94319437308744
133,172.86739683330507
134,173.10287095361682
135,173.0265796361146
136,172.92633725439802
137,171.75996361857784
138,171.63387958381486
139,170.4138777427536
140,169.27391572168895
141,169.21753478388413
142,168.0778022668731
143,166.99885232131797
144,166.94971226155758
145,165.85885886323862
146,164.75117527132164
147,164.6931737053151
148,163.65492973295417
149,162.58735717383007
150,162.59939309914907
151,162.99571479866836
152,162.95965936779976
153,161.9158213590485
154,162.2138226094184
155,162.21395107084706
156,161.18878921484335
157,160.26441635447702
158,161.5208879362179
159,160.54346226746182
160,159.59104184508323
161,161.75621581818007
162,161.6604942922239
163,160.74428534361482
164,160.17597644503525
165,160.2308510462443
166,159.61604292421455
167,158.68069018289714
168,159.8074237164997
169,158.90014195018972
170,160.13901526787703
171,159.34628769110518
172,159.61759558666583
173,158.7107455826908
174,157.89823611851395
175,157.0950399644034
176,156.2591436911713
177,156.25695468072837
178,155.3985826393192
179,154.61348909639113
180,153.76229650179545
181,152.9289328103566
182,154.51681685054695
183,153.71702599004317
184,153.69521736450818
185,152.92274864171003
186,152.16652506525799
187,152.958807627785
188,152.1713790069235
189,151.3979869759272
190,151.67217693705308
191,150.91393863343444
192,150.1596919260919
193,149.47000173089418
194,148.79594350229834
195,148.85228138092236
196,148.1300783753395
197,148.13704964231113
198,148.26063591663282
199,148.27669843477221
200,149.06306778073312
201,148.33713855553623
202,147.62282505365883
203,146.90656503080734
204,146.2189214802256
205,145.55713714622868
206,146.3436949426688
207,146.36771578604473
208,145.70640543447092
209,146.6793472219312
210,147.42845772902172
211,147.46081146696733
212,146.79835100106473
213,146.12555035403076
214,147.49859066432882
215,146.82228247287662
216,146.85735041234227
217,146.21958776662976
218,145.6088202863658
219,146.28103574225892
220,145.66337184580888
221,145.03596761647393
222,145.02593556932501
223,145.7889251292019
224,145.76494955271482
225,145.76700598080953
226,145.13795735034267
227,144.50605472068955
228,143.90720611496977
229,144.536921769771
230,143.94320839798968
231,143.3818524946898
232,142.7848319678471
233,142.2098815615085
234,141.6613766556112
235,141.10058026821056
236,140.53112393718655
237,139.98955820381389
238,141.2307232568244
239,141.31119755621236
240,140.7389702230692
241,140.19386018361294
242,140.26636876252073
243,140.38579844152977
244,140.4290292995875
245,142.7211552123634
246,143.26229603213022
247,142.7265829817969
248,142.71334669955314
249,142.93921048861432
250,143.6953387784958
251,143.69930018371795
252,143.14059820913133
253,143.0957734810976
254,143.36247124540523
255,144.01127454252804
256,144.57558229845017
257,144.64955486768878
258,145.1666656935862
259,144.6296151531249
260,145.68892815204768
261,146.26832439068176
262,145.75160442508815
263,145.22236668564975
264,145.23977482409188
265,145.49555342062465
266,146.00044205045342
267,145.48085758391392
268,144.96065751207408
269,144.4490069749187
270,144.5191718534187
271,144.01786860240782
272,143.97092196257677
273,143.47955338072865
274,142.9981072114332
275,142.51458745176143
276,142.03470827617508
277,141.53185781158695
278,141.55895040446904
279,142.27526745488566
280,142.22523574233054
281,141.73524284617332
282,141.80150268348396
283,141.31296618919913
284,141.35512683844902
285,141.42523098410223
286,141.44292349998767
287,141.48859803020332
288,141.0353171237641
289,141.06532939082612
290,141.0703842368619
291,140.61120300276582
292,140.13909293690773
293,139.6911417225522
294,140.43275412896864
295,140.4069047588413
296,139.99573235415124
297,140.20914489572698
298,140.23119320485415
299,139.7910340175182
300,140.5466757408778
301,140.1307050587727
302,140.08896838592378
303,140.53609005295405
304,140.08303512946554
305,140.02150392297838
306,140.23457544535594
307,140.46776626708066
308,140.53454702473306
309,140.10579185346955
310,140.18881944456407
311,139.75967830477038
312,139.97538695045006
313,139.99738920001556
314,139.58410348178475
315,140.69305240767343
316,140.9035321013837
317,140.4921183698937
318,140.51885299337735
319,140.12204428899997
320,140.08524594083428
321,140.12050754407485
322,140.77655152282358
323,140.3833269799826
324,139.98631046215692
325,139.56374090268062
326,139.95525197383085
327,139.5413080683542
328,139.61168317751188
329,139.21826516023884
330,138.81420670783882
331,139.2825081708568
332,139.29113129607165
333,138.89438847736554
334,138.90412670766523
335,138.94617433476805
336,138.59171974446093
337,138.19572014695459
338,138.22023087634136
339,138.22160686574503
340,137.83180374187583
341,137.433646268509
342,137.48342519266563
343,137.08970954675368
344,136.72845290220062
345,136.76125802095385
346,136.77545293700487
347,136.40362707201274
348,136.48265702765565
349,136.51712429694254
350,136.99232753276826
351,136.62222322711239
352,137.23001764105126
353,136.87102881977307
354,136.49712029486727
355,136.90811911905317
356,136.93887657328938
357,136.56651627049058
358,136.20179429733554
359,136.7497139169645
360,137.0864302403397
361,137.10298863474353
362,136.90454751549504
363,136.54359142642375
364,137.1435302568006
365,137.45518293837978
366,137.47466124667497
367,137.56331558448417
368,137.63293138599914
369,137.97350549891712
370,138.28374308830982
371,138.29324773508262
372,137.92868747185636
373,137.58726317313656
374,137.66771620416387
375,137.33601012102764
376,136.99344139593714
377,136.64062213834464
378,136.92808820520128
379,137.33255388554295
380,136.98977835115633
381,137.08270164862705
382,137.44554990311568
383,137.46885813932195
384,137.85998727194965
385,138.04756661266475
386,138.40838047198062
387,138.46028379013987
388,138.11624513889097
389,137.77538238331715
390,137.43755139632103
391,137.10057456840946
392,136.76876562772964
393,136.4465186972048
394,136.96345436330978
395,136.77251960235307
396,136.7116980558694
397,137.0997722689391
398,136.76499827602998
399,136.44437441491243
400,136.66968777239322
401,137.34991330042146
402,137.7156812047484
403,137.38694631787152
404,137.28723570556923
405,136.9659425823777
406,136.64719729881568
407,136.5541028560526
408,136.23554758289282
409,135.9153457043515
410,136.09955248193043
411,135.79145595047015
412,136.31228053627663
413,136.31811095958184
414,136.34077436278983
415,136.02025376515215
416,135.83840515292607
417,135.5266614600623
418,135.47388690168208
419,135.1763681910203
420,134.86925207092648
421,134.58406598324447
422,134.28494806425266
423,134.3367945668827
424,135.37789914742956
425,135.7257296708051
426,135.73396821984662
427,135.42770476977776
428,135.44006563458487
429,135.44917811435974
430,135.18466586733973
431,134.8996415647166
432,135.2258216727663
433,134.92301239868235
434,134.94106764068252
435,134.76769387475375
436,134.84370001740413
437,135.20823693220893
438,134.90702952043105
439,134.61003448479812
440,134.3140290547501
441,134.03154334730033
442,134.08470081797552
443,133.79145662779194
444,133.5030928973679
445,133.9873775551828
446,133.99182529460154
447,134.00369123004427
448,133.71510210154312
449,133.42573714415587
450,133.1494222778744
451,133.5071560770868
452,133.8855293166321
453,133.59864293555287
454,133.31680947463417
455,133.31943950548276
456,133.35971622404298
457,133.07260671434048
458,133.08785619642015
459,133.09986264461526
460,132.8272431285485
461,132.83574256514262
462,132.89679911590758
463,132.62262038432755
464,132.34922383417344
465,132.09360466669963
466,131.83212232231583
467,131.5561840151311
468,131.57873112319882
469,131.31078102847914
470,131.37520933861427
471,131.38788561102186
472,131.443656340494
473,131.20022398422435
474,131.40491365782822
475,131.14676597896374
476,131.17637808082483
477,131.34415003038802
478,131.3948733347729
479,131.1354477241293
