Iteration,MSE
1,4.289794921875
2,4.393634080886841
3,56.646883169809975
4,44.07769954204559
5,67.58217306137085
6,82.9888927936554
7,94.2790014403207
8,102.61080259084702
9,91.82296959559123
10,98.58947329521179
11,104.23267602920532
12,95.97117555141449
13,100.91076018260075
14,94.10536473137992
15,98.46060644785562
16,102.30150562524796
17,105.60672047558953
18,99.97991418838501
19,95.01265771765458
20,98.26448302268982
21,94.00495837983631
22,96.43681612881747
23,100.51065726902173
24,104.03225326538086
25,101.10460029602051
26,108.16023437793439
27,114.7314493391249
28,110.75206907306399
29,113.12818317577756
30,109.71164567470551
31,120.60468726773416
32,127.38468758016825
33,127.27131090019688
34,129.05576496264513
35,125.7715914113181
36,126.04662048154407
37,125.98965434125952
38,127.4558236034293
39,124.93810292390677
40,126.03545952439308
41,127.2636034023471
42,131.77941749777114
43,135.1704683581064
44,132.21920588341627
45,129.6295548386044
46,127.1905279626017
47,124.85344879170681
48,125.63798940678437
49,128.77173945855122
50,132.62703709125518
51,132.43948218869227
52,133.19678325377978
53,137.0312523436996
54,137.48600320904345
55,137.2661352374337
56,142.65155223863465
57,143.08965345432884
58,145.3452235624708
59,143.20490029302695
60,141.2153588970502
61,141.88230386718374
62,144.73525032304948
63,144.9887488569532
64,145.38022962585092
65,143.54810949839077
66,143.8717553723942
67,141.87862137538283
68,142.25493669860504
69,142.72705722546232
70,140.7883150747844
71,143.28326011375643
72,143.81427387065358
73,141.93328979243972
74,141.923005558349
75,140.31817824363708
76,140.87909250824075
77,141.42628116421886
78,145.9141408877495
79,144.13938901092433
80,144.350100299716
81,144.57867956455843
82,144.57643962197187
83,147.55327024517288
84,146.07155057078316
85,148.08037138265723
86,148.19429754379183
87,148.4609584780945
88,148.21365973895246
89,146.59327487999133
90,146.80795368883344
91,148.65870092465326
92,147.16941976806393
93,145.72484152035048
94,149.15172055680702
95,149.84569073978224
96,149.92998169114193
97,151.6508648887123
98,152.27431346202383
99,152.8619797663255
100,151.58842264413835
101,153.37243148359923
102,153.6902377021079
103,152.23387292056407
104,152.32423296112282
105,151.03316572053092
106,149.6981105152166
107,148.47136474992627
108,147.17568795548544
109,145.9040897504999
110,144.8119719136845
111,144.95081391850033
112,145.02902958009923
113,145.21068755926285
114,143.97570349249924
115,142.77706328474957
116,141.63033853522663
117,141.94008688437634
118,143.10683111215042
119,145.7778973599442
120,146.8303232173125
121,146.95915707477855
122,147.42286525593428
123,146.41554381013887
124,145.31885952141977
125,146.30837041282655
126,145.17351295834496
127,147.34910325178012
128,146.23352444544435
129,146.3013073862061
130,147.56451275532064
131,149.97636961390953
132,148.89803049781105
133,147.80797572781267
134,146.7249586955825
135,145.66349641128824
136,146.83849285455312
137,146.9302675132334
138,146.96394598138505
139,147.1313269755823
140,146.48569636855805
141,147.4021315997374
142,146.5884260913016
143,146.63680529927873
144,145.70610534979238
145,144.72313053032448
146,143.77043654330788
147,142.89936677614847
148,142.97054821252823
149,142.13004682688106
150,141.19652859052022
151,141.26700846248906
152,141.3473278503669
153,140.45429245007583
154,139.55941087549382
155,140.72654742579306
156,139.83817384487543
157,141.8737603965079
158,143.21942926056778
159,144.24242334245886
